Hindi,Transliteration,English
अभाव,abhāv,Lack
अभिव्यक्ति,abhivyakti,Expression
अभ्यास,abhyās,Practice
अच्छा,acchā,Good
अच्छे,acche,Good
अच्छी,acchī,Good
आचरण,ācraṇ,Behaviour
अदालत,adālat,court
आदर्श,ādarś,Ideal
आधा,ādhā,half
आधारित,ādhārit,based
आधे,ādhe,Half
आधी,ādhī,Half
अधिगम,adhigam,Learning
अधिकांश,adhikānś,majority of
अधिकार,adhikār,rights
अधिकारी,adhikārī,Officer
अधिकारियों,adhikāriyõ,Officers
अधिकतम,adhiktam,Maximum
अधिकतर,adhiktar,mostly
अधिनियम,adhiniyam,Act
आधुनिक,ādhunik,Modern
अध्याय,adhyāy,Chapter
अध्ययन,adhyayan,Study
आदि,ādi,Etcetera
आए,āe,Returns
आएँ,āẽ,Come
अगस्त,agast,august
आगे,āge,Ahead
आघात,āghāt,the strokes
अगले,agle,Next
आग्रह,āgrah,request
आई,āī,I
ऐसा,aisā,As such
ऐसे,aise,This way
ऐसी,aisī,Such
अजीब,ajīb,Strange
आजकल,ājkal,Nowadays
आकर,ākar,Size
आकार,ākār,size
आकर्षण,ākarṣaṇ,Attraction
आकाश,ākāś,Sky
अकेला,akelā,alone
अकेले,akele,Lonely
अखबार,akhbār,Newspaper
आक्रमण,ākramaṇ,Invasion
अक्सर,aksar,Often
अक्षर,akṣar,Letter
अलग,alag,apart
अली,alī,Ali
आलोचना,ālocnā,Criticism
आलू,ālū,Potato
अमल,amal,Execution
अम्मा,ammā,Mother
अमृतसर,amŕtsar,Amritsar
आना,ānā,come
अनाज,anāj,Cereal
आनन्द,ānand,Joy
अंदर,andar,Inside
